Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
305.453,0.727418,5.913861,8.680562,-0.060628,-0.451124,-0.604451,1
305.471,-0.368495,6.412167,7.935796,0.020159,-0.440586,-0.556956,1
305.495,-0.326022,6.495915,5.697311,0.076664,-0.423482,-0.526413,1
305.512,-0.689133,6.352944,6.147759,0.052687,-0.412639,-0.412334,1
305.535,-0.875175,7.378867,7.273582,-0.000916,-0.361174,-0.303905,1
305.554,2.481955,5.950352,12.090335,-0.079107,-0.363312,-0.141721,1
305.576,-2.14696,5.623133,3.014358,0.335976,-0.258549,-0.265115,1
305.595,0.249452,7.108478,6.967301,0.022755,-0.144775,-0.082314,1
305.617,0.311067,6.886544,8.508878,0.120951,-0.220217,-0.080023,1
305.636,-0.11665,5.706284,7.082157,0.119119,-0.163712,-0.015882,1
305.655,0.455234,6.662217,8.373683,0.179136,-0.162337,0.009621,1
305.677,-0.949951,7.217949,6.011369,0.100335,-0.155771,-0.001374,1
305.695,1.54038,6.155536,7.740183,-0.034056,-0.19792,0.047189,1
305.717,0.742373,6.434898,6.831509,0.019395,-0.1799,-0.046426,1
305.736,0.276371,6.234499,7.759326,0.04948,-0.180205,-0.06857,1
305.758,1.291526,6.086144,7.130611,0.090408,-0.200364,-0.129045,1
305.778,-0.598206,7.835298,4.430311,0.078191,-0.23106,-0.265421,1
305.799,2.634498,7.125826,9.984651,-0.238237,-0.316123,-0.127671,1
305.819,1.368096,5.752346,7.52124,0.118202,-0.27214,-0.415235,1
305.839,0.574876,6.370292,6.716055,0.035277,-0.249538,-0.395077,1
305.857,0.385843,6.958927,6.043672,-0.008399,-0.350178,-0.394161,1
305.879,0.658026,7.719844,7.656434,-0.100793,-0.356745,-0.375682,1
305.902,0.33679,6.059225,7.596015,-0.073151,-0.300851,-0.346818,1
305.92,-0.553938,7.418348,7.273582,-0.026267,-0.284816,-0.307418,1
305.939,0.629911,5.952744,7.861619,0.054214,-0.224798,-0.216857,1
305.962,-0.17348,5.724828,7.722835,0.037263,-0.21533,-0.204792,1
305.98,-1.569692,7.289734,5.873781,0.074373,-0.189063,-0.07758,1
306.002,2.170888,6.092725,9.067003,-0.030391,-0.153022,0.050702,1
306.021,-0.527617,6.006583,6.662217,0.239306,-0.067042,-0.142179,1
306.045,0.670589,7.529016,7.895717,0.122173,-0.088575,0.000153,1
306.064,0.760319,8.079366,7.297511,0.144317,-0.085216,0.015272,1
