Timestamp,yaw,pitch,roll,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
4.6,3.4485,-2.5045,-19.1678,-0.819901,8.38469,4.359244,-0.019426,0.044899,0.025992,0
4.7,3.3619,-2.9197,-19.1466,-0.815953,8.361569,6.228667,-0.060246,-0.037644,-0.06563,0
4.8,3.6412,-2.9509,-18.3379,-1.144726,8.46808,4.318327,-0.039492,-0.003849,-0.022816,0
4.9,3.5506,-2.8086,-17.4817,-0.469472,8.173045,5.111787,-0.139858,-0.006384,-0.039034,0
5.0,3.7748,-2.6559,-16.7852,-0.593899,8.679964,4.08742,-0.098991,-0.123486,-0.235488,0
5.1,4.023,-2.3438,-16.3988,-1.408057,8.009136,4.469673,0.059834,-0.360471,-0.451765,0
5.2,4.4098,-2.0292,-16.5052,-2.074816,8.835856,4.733123,-0.057085,-0.408027,-0.261053,0
5.3,4.4448,-2.3873,-17.3171,-1.828954,8.475976,4.778706,-0.041264,-0.154335,0.092088,0
5.4,4.352,-2.415,-18.1633,-1.437249,8.733444,3.865605,0.003726,0.041508,0.269788,0
5.5,3.9879,-3.5567,-18.9032,-0.749911,8.163354,5.081398,0.004612,0.117714,0.247003,0
5.6,3.7346,-4.7126,-19.054,-0.84012,8.63115,4.579982,0.057452,0.069455,0.110719,0
5.7,3.6552,-5.5599,-18.3863,-1.27035,8.952746,5.365067,0.044563,0.053878,0.073854,0
5.8,3.7423,-6.0911,-17.5647,-0.852084,8.073384,3.487061,-0.04893,0.14224,0.147555,0
5.9,3.8994,-6.4783,-17.1929,-0.268894,8.402546,4.269693,-0.016608,0.002481,-0.068188,0
6.0,4.5361,-6.7926,-17.2211,-0.711386,8.771251,5.497989,-0.002596,-0.172356,-0.278127,0
6.1,4.9587,-6.3979,-17.7067,-1.167697,9.041759,3.835216,0.051221,-0.210076,-0.239154,0
6.2,5.5253,-5.743,-18.7412,-1.400639,8.638209,4.482953,0.031856,-0.075808,-0.026298,0
6.3,5.4651,-5.1961,-19.7952,-0.808535,8.571689,5.144928,0.009988,0.064202,0.09841,0
6.4,5.3899,-3.8337,-20.0354,-0.803988,7.99454,4.662056,-0.032437,0.014997,-0.016127,0
6.5,4.8589,-3.4131,-19.7601,-0.781855,8.733444,4.645665,0.02642,0.016524,-0.085552,0
6.6,4.3781,-2.7346,-18.8395,-0.755773,8.292088,4.242116,0.03485,-0.062522,-0.18833,0
6.7,3.7866,-1.9154,-17.7946,-0.707199,8.644191,5.266244,-0.020647,-0.248286,-0.351614,0
6.8,3.3429,-0.2199,-17.0754,-1.2335,8.508279,4.83063,0.020159,-0.360624,-0.375254,0
6.9,3.1834,2.2395,-16.7051,-1.364268,8.652207,4.988437,0.055222,-0.292482,-0.187872,0
7.0,3.5775,5.3297,-16.6869,-1.618386,8.370452,4.579862,0.081275,-0.16811,-0.017929,0
7.1,3.9742,8.6748,-17.3118,-1.074378,8.289336,4.33714,0.051236,-0.124197,0.052992,0
7.2,4.6161,12.3073,-18.3821,-1.109432,8.386604,5.192186,-0.013592,-0.134146,0.024312,0
7.3,4.8495,15.2355,-19.6738,-0.975673,8.62158,4.521478,0.040348,-0.132985,-0.0135,0
7.4,5.2419,17.532,-20.4234,-1.252045,8.645627,4.783611,-0.010537,-0.153816,-0.018051,0
7.5,5.152,17.8483,-21.0589,-1.121875,8.202357,4.632864,0.05058,-0.018143,0.101587,0
7.6,4.9362,16.8013,-21.4197,-0.850649,8.501938,5.336234,0.002077,0.062949,0.134237,0
7.7,4.5688,14.7366,-21.9893,-0.9204,8.425488,3.839762,-0.074587,0.044196,0.040256,0
7.8,4.2012,12.8683,-22.4247,-1.206701,8.219106,5.071588,-0.168965,-0.052107,-0.06805,0
7.9,4.0853,10.4246,-22.08,-1.028914,8.688937,5.327141,0.029902,-0.074342,-0.137384,0
8.0,4.1864,7.8575,-20.9338,-0.931646,8.221739,4.539304,-0.045571,-0.11863,-0.15125,0
8.1,4.0917,5.2748,-19.5496,-0.845025,8.692167,4.26401,0.024801,-0.072845,-0.107298,0
8.2,3.7396,3.3788,-18.0699,-0.681954,8.183095,5.128776,-0.065118,-0.115973,-0.178831,0
8.3,2.9527,1.803,-16.9405,-0.801237,8.445228,5.020501,-0.035125,-0.398162,-0.441044,0
8.4,2.2306,0.1495,-15.7331,-1.25025,8.939436,4.322484,0.062652,-0.467999,-0.412257,0
8.5,1.5866,-1.7108,-14.9165,-1.327897,8.047541,5.748756,0.12764,-0.315023,-0.17938,0
8.6,1.2499,-3.4168,-14.6837,-1.629153,8.519645,4.773203,-0.026389,-0.318383,-0.066554,0
