Timestamp,yaw,pitch,roll,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
22.5,1.6281,-5.1851,-21.9262,-1.378984,8.643713,4.425286,0.077366,-0.104366,-0.027397,0
22.6,2.0224,-5.6111,-23.9569,-2.067758,8.651849,4.16722,0.05174,0.211329,0.331516,0
22.7,2.0017,-6.5236,-25.4128,-1.406621,8.393543,4.858866,-0.047403,0.415144,0.516211,0
22.8,2.2072,-7.3468,-25.7431,-0.52678,8.693244,4.548397,-0.034728,0.301034,0.243827,0
22.9,1.8223,-7.6919,-24.8091,-0.134118,8.252965,3.932843,0.048808,0.059559,-0.077885,0
23.0,1.0973,-7.5643,-23.354,-0.59342,8.511868,5.29089,-0.017715,-0.008949,-0.14728,0
23.1,0.1406,-7.1491,-22.0627,-1.101177,8.959924,4.909833,-0.002138,-0.050305,-0.154579,0
23.2,-0.6366,-6.0955,-21.383,-0.662692,9.403434,5.736673,0.070219,-0.206808,-0.23219,0
23.3,-1.0175,-5.4179,-20.9972,-0.741775,8.513424,4.615515,0.124189,-0.264901,-0.254853,0
23.4,-1.1821,-4.8711,-21.1877,-1.255036,8.457133,3.391228,0.387326,-0.117133,-0.017562,0
23.5,-0.7281,-4.3651,-21.8823,-1.661576,8.812287,3.97412,0.061697,0.150181,0.310686,0
23.6,-0.0553,-4.7872,-22.9147,-1.252523,8.593583,3.468636,-0.021411,0.284388,0.425865,0
23.7,0.7351,-5.6323,-24.2025,-0.497707,8.044431,4.942974,-0.236466,0.174524,0.251401,0
23.8,1.8598,-5.8468,-25.1872,-0.891805,7.784689,3.879603,-0.292268,0.195141,0.242238,0
23.9,2.8509,-4.9902,-26.1947,-0.594497,7.829435,4.269753,-0.329409,0.272598,0.278646,0
24.0,3.6436,-4.386,-26.5967,-0.374955,8.009615,4.512265,-0.316275,0.285946,0.206503,0
24.1,4.4439,-2.9169,-26.1368,-0.474018,9.305328,6.055038,-0.190376,0.246087,0.070952,0
24.2,4.589,-1.8755,-25.1163,-0.521994,8.613563,5.681638,0.158733,0.294437,0.050182,0
24.3,4.2992,-1.8695,-23.4601,0.041037,8.185248,5.974998,0.154518,0.249508,-0.073181,0
24.4,3.5633,-2.0688,-21.7162,-0.291446,8.249017,2.781417,0.324675,0.029871,-0.389793,0
24.5,2.7361,-2.7884,-20.2364,-0.724547,10.187562,4.139344,0.239887,-0.344436,-0.635299,0
24.6,1.6574,-4.1613,-19.2196,-1.047219,8.41783,3.971248,0.040134,-0.318352,-0.428491,0
24.7,1.0134,-5.1494,-18.3511,-1.550908,8.329296,5.529813,0.053084,-0.115331,-0.136192,0
24.8,0.4844,-5.956,-17.9192,-1.289731,8.346764,3.94711,-0.04108,-0.15306,-0.080787,0
24.9,0.4216,-6.2914,-18.1076,-1.043989,8.791828,5.2142,-0.001985,-0.202593,-0.128893,0
25.0,0.6394,-6.4453,-17.8826,-0.518644,8.23789,4.774279,0.087476,-0.219728,-0.162521,0
25.1,0.9629,-6.0864,-17.6355,-1.482234,8.531849,4.870949,0.023579,-0.222141,-0.123914,0
25.2,1.0329,-6.1411,-17.7327,-1.913182,8.475617,4.418227,0.068722,-0.16695,0.02755,0
25.3,1.4888,-6.839,-18.0876,-1.395973,8.84148,4.734558,0.092729,0.061697,0.27266,0
25.4,2.1181,-6.8434,-18.9087,-1.161356,8.133444,4.388317,0.074556,0.160077,0.290802,0
25.5,2.8051,-6.138,-20.0073,-0.680399,8.266843,3.419822,-0.097433,-0.009957,0.090988,0
25.6,3.3405,-5.669,-21.2796,-0.914537,8.957531,5.474419,-0.010446,-0.003024,-0.008827,0
25.7,4.0904,-5.2195,-21.9137,-1.471347,8.539984,4.407101,-0.06747,0.044593,0.089736,0
25.8,4.2884,-5.3418,-22.8605,-1.476252,8.07135,4.727021,-0.090408,0.15348,0.215483,0
25.9,4.0724,-5.3822,-23.6383,-0.638285,8.470143,4.048806,0.001565,0.088232,0.109956,0
26.0,3.9026,-4.8309,-23.857,-0.428196,8.561639,5.043352,-0.082436,-0.033567,-0.044838,0
26.1,3.5554,-4.1728,-23.7511,-0.980459,8.640243,5.165266,0.00504,-0.048839,-0.073395,0
26.2,2.7627,-4.0872,-23.2524,-1.065763,8.410053,3.997689,-0.040073,-0.007361,0.000244,0
26.3,2.6362,-4.351,-22.8436,-1.213879,8.527063,4.989514,0.069853,0.031184,0.040989,0
26.4,2.5406,-4.4356,-22.5605,-0.796331,8.977751,5.277729,0.049083,-0.039279,-0.000427,0
26.5,2.7747,-4.2281,-22.2468,-0.703011,8.075657,3.502734,0.019334,-0.035308,0.023121,0
26.6,2.8763,-4.9145,-22.2839,-0.74345,8.639765,5.771369,-0.016768,0.026267,0.083719,0
26.7,3.366,-5.8802,-22.5607,-1.238046,8.256674,4.769733,0.065088,0.162032,0.170248,0
26.8,3.7883,-6.5946,-23.1725,-0.846341,8.559486,3.955815,0.039554,0.126602,0.162979,0
26.9,4.0039,-7.6461,-23.7504,-0.522592,7.975158,5.122435,-0.314382,0.114995,0.104091,0
27.0,4.7846,-7.7694,-23.9981,-0.21685,8.787791,4.428965,-0.063378,0.106252,0.032109,0
27.1,5.0718,-7.0602,-24.0638,-0.363589,8.882277,5.236812,0.076847,0.065179,-0.098349,0
27.2,5.1368,-6.5485,-23.8258,-0.511346,8.503135,2.955973,-0.029718,0.050732,-0.105557,0
27.3,5.4914,-6.0673,-23.3631,-1.175354,8.494161,5.453123,0.009316,0.082436,-0.078679,0
27.4,5.431,-5.7173,-23.0559,-0.947797,8.171849,4.705366,-0.023579,0.009499,-0.109039,0
27.5,5.1909,-5.3778,-22.9967,-0.878525,8.599326,4.375635,0.015516,-0.122417,-0.238665,0
27.6,4.6913,-5.114,-23.3521,-1.139701,8.704012,4.981857,0.032315,-0.209282,-0.239795,0
27.7,4.3935,-5.0914,-23.5372,-1.171526,8.199007,4.856832,0.047586,-0.18161,-0.136253,0
27.8,4.076,-5.3336,-23.6869,-1.51346,8.654241,3.975675,0.075136,-0.127213,0.001619,0
27.9,3.623,-5.4719,-23.8811,-1.107757,8.813604,4.445865,-0.032193,0.070097,0.226112,0
28.0,3.5132,-4.6748,-23.7582,-1.364507,8.026724,5.066922,-0.026817,0.133016,0.216063,0
28.1,3.3716,-3.551,-23.4352,-0.522832,8.3348,5.029713,-0.040592,-0.063316,0.027611,0
28.2,3.7762,-2.6378,-23.2453,-0.882802,8.462666,4.546363,0.058834,0.074602,0.122058,0
28.3,4.1555,-1.9345,-23.1526,-0.336192,8.258707,5.259185,0.041814,0.157786,0.117866,0
28.4,4.8671,-0.9417,-23.2709,-0.536112,8.47143,4.458427,-0.017929,-0.044227,-0.129839,0
28.5,5.1916,-0.3989,-23.445,-1.3401,8.650892,4.528537,0.045662,-0.009744,-0.043463,0
28.6,5.5838,-0.1121,-23.3765,-0.510509,8.733564,4.731807,-0.009804,0.148807,0.101709,0
28.7,6.065,0.0256,-23.051,-0.49687,8.372845,4.675695,-0.035461,0.091874,-0.053573,0
28.8,6.3741,-0.2626,-22.9025,-0.599641,8.368778,5.535556,0.019395,-0.108551,-0.258915,0
28.9,6.4172,0.2122,-22.8716,-1.037408,8.299266,4.41751,0.006017,-0.202044,-0.274309,0
29.0,6.2509,0.5089,-22.7706,-1.516571,8.783812,4.174279,-0.005406,-0.172417,-0.166399,0
29.1,5.9288,0.6148,-22.7487,-1.472663,8.442357,4.322395,0.034514,-0.116034,-0.020158,0
